theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
11,15,214.0,337.5,21128.38522468391,-311.5738304746962,1.0,6.397105067890152e-12
12,0,215.0,0.0,19728.50001807058,-311.57852627814117,1.0,5.5142557187082275e-12
12,1,215.0,22.5,19728.437752367452,-311.5784927252329,1.0,5.559552818112934e-12
12,2,215.0,45.0,19728.546153309886,-311.5784627017351,1.0,5.688782778179302e-12
12,3,215.0,67.5,19728.809465186245,-311.5784410421625,1.0,5.647482481663246e-12
12,4,215.0,90.0,19729.186319043794,-311.57843059072843,1.0,5.643929767984446e-12
12,5,215.0,112.5,19729.61890551466,-311.5784327836644,1.0,5.653699730601147e-12
12,6,215.0,135.0,19730.04288464588,-311.5784478224943,1.0,5.570210959149335e-12
12,7,215.0,157.5,19730.39282109645,-311.57847310419186,1.0,5.560440996532634e-12
12,8,215.0,180.0,19730.61577985624,-311.57850490037345,1.0,5.647038392453396e-12
12,9,215.0,202.5,19730.677241454927,-311.5785381676562,1.0,5.608846720406291e-12
12,10,215.0,225.0,19730.56752336304,-311.57856772681185,1.0,5.587530438333488e-12
12,11,215.0,247.5,19730.30619455936,-311.5785900892958,1.0,5.562661442581884e-12
12,12,215.0,270.0,19729.930050618466,-311.57860079455526,1.0,5.639044786676095e-12
12,13,215.0,292.5,19729.496018391113,-311.5785980928735,1.0,5.635492072997295e-12
12,14,215.0,315.0,19729.072146775252,-311.5785830912946,1.0,5.565770067050835e-12
12,15,215.0,337.5,19728.72253942625,-311.5785579230365,1.0,5.7411853049416095e-12
13,0,216.0,0.0,18397.102391504148,-311.5847877616747,1.0,2.2779111930049112e-11
13,1,216.0,22.5,18397.022603419286,-311.5847547387309,1.0,2.297051437949449e-11
13,2,216.0,45.0,18397.113060552692,-311.58472637892254,1.0,2.2923440923250382e-11
13,3,216.0,67.5,18397.35331457857,-311.58470452630587,1.0,2.289946010591848e-11
13,4,216.0,90.0,18397.710354458544,-311.58469382786785,1.0,2.275735155876646e-11
13,5,216.0,112.5,18398.127938395723,-311.584695213175,1.0,2.2862156612291074e-11
13,6,216.0,135.0,18398.544527083995,-311.5847092243338,1.0,2.2863488879920624e-11
13,7,216.0,157.5,18398.89526139093,-311.58473319601325,1.0,2.2789770071085513e-11
13,8,216.0,180.0,18399.12728183678,-311.5847636780784,1.0,2.2657875575760045e-11
13,9,216.0,202.5,18399.204337425173,-311.58479568687693,1.0,2.2742252525631557e-11
13,10,216.0,225.0,18399.116183105303,-311.58482490022607,1.0,2.2815971334466667e-11
13,11,216.0,247.5,18398.876215890774,-311.58484686177684,1.0,2.2802204568961315e-11
13,12,216.0,270.0,18398.519273336213,-311.5848575995141,1.0,2.2851942560464522e-11
13,13,216.0,292.5,18398.099818495106,-311.58485552313596,1.0,2.2786217357406713e-11
13,14,216.0,315.0,18397.684612120767,-311.5848420235314,1.0,2.30531149725266e-11
13,15,216.0,337.5,18397.334541981094,-311.5848182952085,1.0,2.290967415774503e-11
14,0,217.0,0.0,17133.75211013494,-311.59265723581063,1.0,8.109068971862143e-12
14,1,217.0,22.5,17133.658046351717,-311.5926257429154,1.0,8.202771795140507e-12
14,2,217.0,45.0,17133.72699320399,-311.59259766882985,1.0,8.094414027937091e-12
14,3,217.0,67.5,17133.94620696232,-311.5925764121052,1.0,8.141487484181198e-12
14,4,217.0,90.0,17134.281527232662,-311.59256490171254,1.0,8.073541835074138e-12
14,5,217.0,112.5,17134.684509432685,-311.5925659040237,1.0,8.099743098455292e-12
14,6,217.0,135.0,17135.092533041487,-311.59257877114993,1.0,8.124168004997046e-12
14,7,217.0,157.5,17135.443386698007,-311.5926015078519,1.0,8.211209490127658e-12
14,8,217.0,180.0,17135.683794829285,-311.5926307072747,1.0,8.065992318506687e-12
14,9,217.0,202.5,17135.776230219166,-311.59266156363026,1.0,8.08997313583859e-12
14,10,217.0,225.0,17135.707698729584,-311.5926897997994,1.0,8.044231947224034e-12
14,11,217.0,247.5,17135.48951233197,-311.5927114593293,1.0,8.22275580958376e-12
14,12,217.0,270.0,17135.152888547167,-311.5927224653188,1.0,8.138822948922098e-12
14,13,217.0,292.5,17134.74970232904,-311.5927213857596,1.0,8.23163759378076e-12
14,14,217.0,315.0,17134.341567654126,-311.5927084750675,1.0,8.192113654104105e-12
14,15,217.0,337.5,17133.992529268387,-311.59268644293087,1.0,8.01936295147243e-12
15,0,218.0,0.0,15938.207413024655,-311.6022054736716,1.0,7.347455976969286e-12
15,1,218.0,22.5,15938.099534064078,-311.60217551471635,1.0,7.277289881812976e-12
