mode,panel,sample,epoch_utc,phase_deg,time_days,x_sun_moon_km,y_sun_moon_km,z_sun_moon_km,earth_moon_distance_km,sun_moon_distance_km,lunar_eclipse,earth_occultation,cr3bp_jacobi_span,frame_orthogonality_error,eclipse_duration_hours,earth_occultation_hours,minimum_shadow_clearance_km
phase,3,305,2020-06-15T00:00:00Z,120,125.3076579023379,64833.06675890089,32504.88299522397,-6279.35641477953,358616.1452017445,148705508.2079108,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,306,2020-06-15T00:00:00Z,120,125.7185026823455,69028.43939557354,23597.36565166233,-5666.705604332812,359806.3534877223,148701720.1322909,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,307,2020-06-15T00:00:00Z,120,126.1293474623532,73390.4572310338,14820.49429937135,-4873.734851757821,361273.5016812162,148700903.052253,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,308,2020-06-15T00:00:00Z,120,126.5401922423609,77786.97453962115,6405.39659075594,-3929.428434206857,362989.1771880245,148702864.7151101,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,309,2020-06-15T00:00:00Z,120,126.9510370223685,82084.64774197961,-1453.985596193137,-2866.852298803453,364921.5031932033,148707386.5227177,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,310,2020-06-15T00:00:00Z,120,127.3618818023762,86138.67430667781,-8616.219762909368,-1719.335712211434,367036.2055939694,148714228.7920198,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,311,2020-06-15T00:00:00Z,120,127.7727265823839,89784.20172509841,-14996.74282276681,-518.0354337339941,369297.6699008423,148723136.0013852,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,312,2020-06-15T00:00:00Z,120,128.1835713623915,92834.24239525758,-20566.32215819423,709.1847736634209,371669.9390232703,148733841.7955775,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,313,2020-06-15T00:00:00Z,120,128.5944161423992,95083.80787146934,-25348.2069051184,1938.127375989541,374117.6142682039,148746073.5773044,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,314,2020-06-15T00:00:00Z,120,129.0052609224068,96318.30326999455,-29415.97067570148,3148.352537779554,376606.6340791403,148759556.5718019,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,315,2020-06-15T00:00:00Z,120,129.4161057024145,96324.68477526736,-32892.07101512729,4323.2062335761,379104.9165901626,148774017.3059396,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,316,2020-06-15T00:00:00Z,120,129.8269504824222,94904.79006043883,-35946.05241686828,5449.816603083575,381582.8619875706,148789186.4902868,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,317,2020-06-15T00:00:00Z,120,130.2377952624298,91890.88961973884,-38790.55461763565,6518.969682571756,384013.718454831,148804801.3290647,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,318,2020-06-15T00:00:00Z,120,130.6486400424375,87163.73167479916,-41672.43238234576,7524.679402998308,386373.821023654,148820607.3084959,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,319,2020-06-15T00:00:00Z,120,131.0594848224452,80673.16451802359,-44855.27990499231,8463.176898806947,388642.7161398071,148836359.5295881,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,320,2020-06-15T00:00:00Z,120,131.4703296024528,72460.86797216453,-48589.03937954744,9331.018080364907,390803.1865224955,148851823.6585284,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,321,2020-06-15T00:00:00Z,120,131.8811743824605,62683.91562753728,-53064.06233608435,10122.27140905818,392841.1913555404,148866776.5685167,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,322,2020-06-15T00:00:00Z,120,132.2920191624682,51636.26581587131,-58354.99698761907,10825.74221113271,394745.7363997268,148881006.7429513,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,323,2020-06-15T00:00:00Z,120,132.7028639424759,39759.10068018288,-64377.02419771597,11424.91915417227,396508.6876070834,148894314.5030237,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,324,2020-06-15T00:00:00Z,120,133.1137087224835,27615.67918993429,-70889.50601993795,11903.21627747148,398124.5405300938,148906512.1143211,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
