member_index,correction_type,curve_samples,previous_max_abs_z_km,max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,rho_rad,delta_rho_rad,mapping_time_days,mapping_time_error_days,mean_jacobi,map_residual_max,curve_jacobi_span,amplitude_residual,phase_residual,one_map_sweep_jacobi_drift,jacobi_ten_return_span,phase_return_error,condition_number,validation_status,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,strict_acceptance,passes_10500_gate,passes_11000_gate,failed_gates
48,FixedRotationCurveCorrection,45,14063.42276268404,14152.02926860208,88.60650591804551,1.454971068135211,1.455285127518485,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922092352830139,2.38572405148941e-09,2.72574407489401e-10,0,7.757635950723235e-17,2.725752956678207e-10,3.552713678800501e-15,6.85137864536565e-11,4254064.661235014,validated extended CR3BP member,False,False,True,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi
49,FixedRotationCurveCorrection,45,14152.02926860208,14237.77654205222,85.74727345013889,1.455285127518485,1.455599186901759,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922086859779085,1.072624121689635e-12,1.24438237492086e-11,0,4.70950318673391e-19,1.24447119276283e-11,3.996802888650564e-15,6.801532790779457e-13,2372664794.23529,validated extended CR3BP member,True,True,True,True,True,True,False,False,False,False,gate_7_condition
50,FixedRotationCurveCorrection,45,14237.77654205222,14319.7292541397,81.95271208747727,1.455599186901759,1.455913246285033,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922081362110861,1.862741101516468e-11,1.358824164299222e-11,0,-8.012931681025681e-18,1.358868573220207e-11,3.552713678800501e-15,1.367348946226014e-11,524815500.7137008,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
51,FixedRotationCurveCorrection,45,14319.7292541397,14399.3532014652,79.6239473254991,1.455913246285033,1.456227305668307,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.92207585987242,1.045547129009041e-09,5.095524002740603e-11,0,-1.788933584601082e-18,5.095568411661588e-11,2.664535259100376e-15,8.622738010645107e-10,41210577.49782827,validated extended CR3BP member,False,True,False,True,True,True,True,False,False,False,gate_1_residual; gate_3_phase
52,FixedRotationCurveCorrection,45,14399.3532014652,14473.85113758869,74.49793612349094,1.456227305668307,1.45654136505158,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922070353129883,1.07005654134908e-13,1.341327049431129e-11,0,-1.151964808265848e-18,1.341415867273099e-11,3.552713678800501e-15,6.52395971151566e-14,1782943506.273547,validated extended CR3BP member,True,True,True,True,True,True,False,False,False,False,gate_7_condition
53,FixedRotationCurveCorrection,45,14473.85113758869,14535.8282049552,61.97706736650798,1.45654136505158,1.456855424434854,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922064841833974,5.245278101741043e-09,2.439883850513525e-10,0,1.005326464437184e-16,2.439888291405623e-10,2.664535259100376e-15,5.142419359033502e-09,6612264.099828348,validated extended CR3BP member,False,False,False,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi; gate_3_phase
54,FixedRotationCurveCorrection,45,14535.8282049552,14573.10318409037,37.27497913517436,1.456855424434854,1.457169483818128,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922059326198321,2.167879294940736e-10,2.430367018746438e-11,0,6.505213034913027e-18,2.430500245509393e-11,3.996802888650564e-15,7.748787386537029e-11,15848318.86265657,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
55,FixedRotationCurveCorrection,45,14573.10318409037,14551.85359080438,-21.24959328599653,1.457169483818128,1.457483543201402,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922053806101595,1.441816619661481e-12,1.154321083163268e-11,0,3.035766082959412e-18,1.154365492084253e-11,3.552713678800501e-15,3.383753113603798e-13,2209288931.260079,validated extended CR3BP member,True,True,True,True,False,True,False,False,False,False,gate_5_amplitude; gate_7_condition
56,FixedRotationCurveCorrection,45,14551.85359080438,14479.7447060373,-72.10888476707987,1.457483543201402,1.457640572893039,0.0001570296916368896,14.74932760227518,1.77635683940025e-15,2.922051044402891,4.332355697791107e-10,5.237277278524743e-11,0,1.723881454251952e-17,5.237410505287698e-11,3.108624468950438e-15,1.682124804817141e-10,12558582.82461385,validated extended CR3BP member,True,True,False,True,False,True,True,False,False,False,gate_3_phase; gate_5_amplitude
57,FixedRotationCurveCorrection,45,14479.7447060373,14376.72532043214,-103.0193856051555,1.457640572893039,1.457734790708021,9.421781498208937e-05,14.74932760227518,1.77635683940025e-15,2.922049386827432,3.80067875280363e-09,1.785460668202177e-10,0,1.140580685454751e-16,1.785469549986374e-10,3.552713678800501e-15,1.364255421584193e-09,7906128.13062014,validated extended CR3BP member,False,False,False,True,False,True,True,False,False,False,gate_1_residual; gate_2_jacobi; gate_3_phase; gate_5_amplitude
