sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
721,347.4113975235651,0.9899514476361345,-0.002849200301256738,0.003757748852560704,-0.003274995194443249,0.00644795856593389,-0.006050806579304231,1660143.258404756,3.000730353763386
722,347.8932441220721,0.9899244611161472,-0.002795313239272288,0.003707179663857498,-0.003236227961766853,0.006554106672380076,-0.006150746546657569,1659207.823527091,3.000730353763387
723,348.3750907205791,0.9898978036607186,-0.002740552821476238,0.003655787241693944,-0.00319559736408831,0.006658681342277695,-0.006249439798792964,1658237.611598844,3.000730353763387
724,348.8569373190861,0.9898714906726567,-0.002684932285319822,0.003603582006566733,-0.003153113816247184,0.006761635399563547,-0.006346865385700515,1657234.738612201,3.000730353763387
725,349.3387839175932,0.9898455374633466,-0.002628465259379084,0.003550574553487986,-0.00310878896576023,0.006862921652347519,-0.006443002150682511,1656201.329347754,3.000730353763386
726,349.8206305161002,0.9898199592424576,-0.002571165763336878,0.003496775653651379,-0.003062635710968479,0.006962492929117093,-0.0065378287418625,1655139.5153773,3.000730353763387
727,350.3024771146073,0.9897947711075018,-0.002513048207659582,0.003442196255999125,-0.003014668218560817,0.007060302116196881,-0.006631323624600081,1654051.433023622,3.000730353763387
728,350.7843237131142,0.9897699880332512,-0.002454127392958149,0.003386847488682269,-0.002964901940376071,0.007156302196451241,-0.006723465094819215,1652939.221278224,3.000730353763387
729,351.2661703116213,0.9897456248610187,-0.002394418509023261,0.003330740660406702,-0.002913353629382093,0.007250446289213128,-0.006814231293255542,1651805.019678509,3.000730353763387
730,351.7480169101283,0.9897216962878091,-0.002333937133524516,0.00327388726165726,-0.002860041354728711,0.007342687691417023,-0.006903600220625491,1650650.966146157,3.000730353763387
731,352.2298635086353,0.989698216855352,-0.002272699230363769,0.003216298965792271,-0.002804984515770525,0.007432979919907986,-0.006991549753716648,1649479.194788114,3.000730353763386
732,352.7117101071423,0.9896752009390208,-0.002210721147673032,0.003157987630000924,-0.002748203854951837,0.007521276754893572,-0.007078057662396409,1648291.83366258,3.000730353763387
733,353.1935567056494,0.9896526627366514,-0.002148019615447589,0.003098965296115871,-0.002689721469448124,0.007607532284498787,-0.007163101627531756,1647091.002512163,3.000730353763387
734,353.6754033041564,0.9896306162572691,-0.002084611742805398,0.003039244191273552,-0.002629560821455007,0.007691700950378594,-0.007246659259810126,1645878.810466501,3.000730353763386
735,354.1572499026634,0.9896090753097367,-0.002020515014864213,0.002978836728414833,-0.002567746747017334,0.007773737594335769,-0.007328708119447119,1644657.353717242,3.000730353763386
736,354.6390965011705,0.9895880534913357,-0.001955747289228324,0.002917755506618673,-0.002504305463290687,0.007853597505885672,-0.007409225736763182,1643428.71316819,3.000730353763387
737,355.1209430996775,0.989567564176294,-0.001890326792077348,0.00285601331126171,-0.002439264574129252,0.007931236470702697,-0.007488189633606924,1642194.952063758,3.000730353763386
738,355.6027896981845,0.989547620504275,-0.001824272113850039,0.002793623113996851,-0.002372653073894385,0.008006610819876803,-0.007565577345598991,1640958.113599088,3.000730353763386
739,356.0846362966915,0.9895282353688423,-0.001757602204516736,0.002730598072544191,-0.002304501349381889,0.008079677479901586,-0.007641366445165579,1639720.21851551,3.000730353763386
740,356.5664828951985,0.9895094214059169,-0.001690336368434719,0.002666951530287856,-0.002234841179767393,0.0081503940233089,-0.00771553456532652,1638483.262684862,3.000730353763386
741,357.0483294937056,0.9894911909822438,-0.001622494258781512,0.002602697015672685,-0.002163705734473262,0.008218718719858386,-0.007788059424198271,1637249.214686951,3.000730353763386
742,357.5301760922126,0.9894735561838842,-0.001554095871561905,0.002537848241394994,-0.002091129568865163,0.008284610588183717,-0.007858918850167422,1636020.013384145,3.000730353763387
743,358.0120226907196,0.9894565288047534,-0.001485161539185369,0.002472419103382067,-0.002017148617689475,0.008348029447791267,-0.007928090807686129,1634797.56549756,3.000730353763386
744,358.4938692892266,0.989440120335223,-0.00141571192361137,0.002406423679555445,-0.001941800186170017,0.008408935971300512,-0.007995553423635829,1633583.743189242,3.000730353763386
745,358.9757158877337,0.9894243419508058,-0.001345768009061075,0.00233987622837353,-0.001865122938687539,0.008467291736809882,-0.008061285014201541,1632380.381655301,3.000730353763386
746,359.4575624862407,0.9894092045009459,-0.001275351094294905,0.002272791187149524,-0.001787156884972538,0.008523059280266105,-0.008125264112194342,1631189.276734581,3.000730353763386
747,359.9394090847477,0.9893947184979335,-0.00120448278445643,0.002205183170141282,-0.001707943363749323,0.008576202147709973,-0.008187469494755534,1630012.182538089,3.000730353763386
748,360.4212556832547,0.9893808941059651,-0.001133184982484173,0.002137066966410178,-0.001627525023777723,0.008626684947266688,-0.008247880211371657,1628850.809104154,3.000730353763387
749,360.9031022817618,0.9893677411303734,-0.001061479880093996,0.002068457537446727,-0.001545945802246776,0.008674473400744752,-0.008306475612125946,1627706.820084583,3.000730353763386
