member_index,curve_samples,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
53,21,3.1389,0.01235793211754247,2.939223311129159,12.76210761692281,0.2752765198408781,22.82499542936514,4.670045329796127e-11,6.535573016108742e-08,0.009244235116365867,8
54,21,3.1389,0.01250377697665028,2.938372539158634,12.75841356502679,0.2713779508660078,23.15289538862313,4.153791692965502e-11,9.83785652941549e-08,0.009244235116365867,8
55,27,3.1389,0.0125484927103455,2.938184667929588,12.75759782815027,0.2705143582096944,23.22680891603193,3.067783094470615e-12,2.376315810792562e-08,0.003182713191923211,21
56,27,3.1389,0.01259251564568719,2.937918425678315,12.75644180429524,0.2692887854337,23.33251753154248,2.873225400719915e-11,2.513049812691293e-08,0.003182713191923211,4
57,27,3.1389,0.0126447320904837,2.937597808733893,12.75504968552256,0.2678101614718262,23.46134019952257,2.92850708064449e-10,2.682528643660476e-08,0.003819255830307853,4
58,27,3.1389,0.01270649857601627,2.937211493851591,12.75337230630361,0.2660244464622056,23.61882673091943,2.532394803116172e-12,2.889273131856385e-08,0.004583106996369424,5
59,27,3.1389,0.01277930836961362,2.936745737443111,12.75134999197799,0.2638653502526868,23.81208939014761,1.892373675776051e-10,3.143442217634629e-08,0.005499728395643308,5
60,27,3.1389,0.01286475214658773,2.936183852733093,12.74891028856709,0.2612512914381583,24.05035118713241,1.150605604596687e-12,3.448848717724218e-08,0.006599674074771969,6
61,27,3.1389,0.01296443544368672,2.935505596890647,12.74596530169919,0.2580815448304083,24.34573658224349,8.171259597583535e-11,3.800320991231843e-08,0.007919608889726362,6
62,27,3.1389,0.01307982444114213,2.934686478045362,12.74240868767296,0.2542313665416615,24.71443784710942,1.084356627370347e-10,4.16126662017291e-08,0.009503530667671635,7
63,27,3.1389,0.01319045024626223,2.933862260051099,12.73882993314187,0.2503310662732391,25.09950283326569,1.305921880298452e-09,4.390515506713655e-08,0.009505436681708817,8
64,27,3.1389,0.01329611300454079,2.93303396850304,12.7352334912402,0.246383059719779,25.50169364048687,2.08305656093653e-10,4.372753226178361e-08,0.009505436681708817,8
65,27,3.1389,0.01339664051553332,2.932202502799417,12.73162326715507,0.2423890409604754,25.92190340900824,1.626146057939817e-11,3.966147543721377e-08,0.009505436681708817,8
66,27,3.1389,0.01349186155491574,2.931368828227845,12.7280034521653,0.2383509078095772,26.36107143422057,2.257395505738325e-12,2.95508608694206e-08,0.009505436681708817,8
67,27,3.1389,0.01358160769995161,2.930533977694737,12.72437853115055,0.2342707766582191,26.82018387784753,1.145067771036138e-12,1.042990005473143e-08,0.009505436681708817,8
68,27,3.1389,0.01366571539343711,2.929699050452011,12.72075327706263,0.2301509955479355,27.30027429262601,1.253660682686486e-12,2.184839997809718e-08,0.009505436681708817,8
69,27,3.1389,0.01374402831410104,2.928865209319846,12.71713273886677,0.2259941550598812,27.8024239410738,1.728609153383023e-12,7.305647153899031e-08,0.009505436681708817,8
70,27,3.1389,0.01381640004313525,2.928033676054468,12.7135222214285,0.2218030961264508,28.32776195151721,2.275650969268423e-12,1.508836695585103e-07,0.009505436681708817,9
71,27,3.1389,0.01388269700191109,2.927205724568827,12.70992725607785,0.2175809137871652,28.87746538892522,8.554876118032354e-12,2.656367135145388e-07,0.009505436681708817,8
72,27,3.1389,0.0139135150450463,2.92679358381157,12.70813774090984,0.2154596094620014,29.16177803751052,3.954340365845037e-11,3.409718845048815e-07,0.004752718340854408,6
73,27,3.1389,0.0139484337767943,2.926300919181482,12.70599859108599,0.2129057734770385,29.51157784294288,3.070035241617406e-10,4.509882440828505e-07,0.00570326200902529,6
74,27,3.1389,0.01398734739080246,2.925712747358615,12.70344474903111,0.2098297665340145,29.94420387043155,1.000779863438555e-11,6.167921720034997e-07,0.006843914410830348,7
75,27,3.1389,0.01402296875762892,2.925128375605982,12.70090740688117,0.2067427552888162,30.39132035558915,2.455528864673971e-11,8.27936653458039e-07,0.006843914410830348,6
76,27,3.1389,0.01406134356035586,2.924432851038631,12.69788743920974,0.2030258316341939,30.94771368059434,4.037556406911758e-11,1.156067051422127e-06,0.008212697292996417,8
77,27,3.1389,0.01407872361706932,2.924087741961389,12.69638897559635,0.2011633288575719,31.23424802553461,5.608120528938417e-11,1.357102439758506e-06,0.004106348646498208,6
78,27,3.1389,0.01409799472143639,2.923676147112258,12.69460183076142,0.1989254069666054,31.58563505281341,8.619282693166865e-11,1.636814905836559e-06,0.00492761837579785,6
79,27,3.1389,0.01411884150381145,2.923186054001663,12.69247384647522,0.1962360792199035,32.01850206219523,2.432837240730468e-10,2.036593558241151e-06,0.00591314205095742,7
80,27,3.1389,0.01413720319445149,2.922700437090536,12.69036529784711,0.193543646412313,32.46391924328164,3.114084936319178e-10,2.518480476165763e-06,0.00591314205095742,7
81,27,3.1389,0.01415308845153861,2.922219614503232,12.68827756617303,0.1908492552607447,32.92224168543538,8.333746722940774e-10,3.097366242155175e-06,0.00591314205095742,7
82,27,3.1389,0.01416651190223843,2.921743878603359,12.68621192089578,0.1881539828445828,33.39384695549901,1.15896382029701e-09,3.79057153754303e-06,0.00591314205095742,7
83,27,3.1389,0.01417749361756309,2.921273508530266,12.68416957403841,0.1854589114020599,33.87912319596305,7.967410645392465e-10,4.618182241067359e-06,0.00591314205095742,6
84,27,3.1389,0.01418291684480128,2.920993996014694,12.6829559306958,0.1838425515068763,34.17699142923706,1.007275951890874e-09,5.188736127870186e-06,0.003547885230574452,6
85,33,3.1389,0.01418687679794285,2.919757611724712,12.6775875501087,0.1765507207910086,35.58855652941394,3.733916408832092e-11,1.402603446720718e-07,0.0009757911518762735,86
86,33,3.1389,0.01418745059539647,2.919560690889031,12.67673251984017,0.17536661636026,35.82885635582932,4.586418753876532e-11,1.618648686196877e-07,0.0009757911518762735,8
87,33,3.1389,0.01418754495816013,2.919493057852631,12.67643885719612,0.1749584175209797,35.91244934772089,4.874125140718089e-11,1.697962965785393e-07,0.0009757911518762735,4
88,33,3.1389,0.0141875890009697,2.919412098842727,12.67608733317512,0.174468759438024,36.01324000593667,5.276676790865614e-11,1.796526643005336e-07,0.001170949382251528,4
89,33,3.1389,0.01418754263367661,2.919315236553976,12.67566675711736,0.1738814272560806,36.13488459538662,5.796348523793465e-11,1.919836138952746e-07,0.001405139258701834,4
90,33,3.1389,0.01418734484918583,2.919199419626237,12.67516388001712,0.1731770137232902,36.28186658316638,6.472027505087107e-11,2.075325595818356e-07,0.001686167110442201,4
91,33,3.1389,0.0141869041147066,2.919061044880611,12.67456305687161,0.1723322964708724,36.45970857378768,7.344113223488199e-11,2.273215304882115e-07,0.002023400532530641,4
