theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
14,14,217.0,315.0,390592.6342404353,-284.58368083838695,1.0,4.662936703425657e-13
14,15,217.0,337.5,464647.85996825004,-345.57780161025454,1.0,5.950795411990839e-14
15,0,218.0,0.0,319308.48489510856,-349.2520344430249,1.0,1.2367884494324244e-12
15,1,218.0,22.5,336070.03875729366,-356.1689883813439,1.0,3.375077994860476e-13
15,2,218.0,45.0,590481.9527907083,-358.72276733969574,1.0,2.220446049250313e-15
15,3,218.0,67.5,47741.541467300856,-436.3390799861552,1.0,4.878319970202938e-12
15,4,218.0,90.0,407469.46248831914,-291.95917127386224,1.0,3.5127456499139953e-13
15,5,218.0,112.5,331863.0416116986,-409.238640875699,1.0,1.3660184094987926e-12
15,6,218.0,135.0,391016.7984432494,-284.6314719547958,1.0,4.5341508325691393e-13
15,7,218.0,157.5,456101.88479796937,-345.4132331907913,1.0,8.08242361927114e-14
15,8,218.0,180.0,319165.778028695,-349.2450471169042,1.0,1.2461143228392757e-12
15,9,218.0,202.5,337537.7638704674,-356.19932489909166,1.0,3.3795188869589765e-13
15,10,218.0,225.0,588918.68228223,-358.70056025862846,1.0,2.6645352591003757e-15
15,11,218.0,247.5,50122.46878402305,-435.9056529682161,1.0,3.3519853559482726e-12
15,12,218.0,270.0,406736.24771039793,-292.0009723553922,1.0,3.574918139293004e-13
15,13,218.0,292.5,332179.0397745773,-409.21317954645224,1.0,8.850697952311748e-13
15,14,218.0,315.0,391062.4433153405,-284.5870812640949,1.0,4.60964599824365e-13
15,15,218.0,337.5,456749.4632295426,-345.4634748876104,1.0,7.72715225139109e-14
16,0,219.0,0.0,307840.1612828776,-349.1686397961222,1.0,4.04121180963557e-13
16,1,219.0,22.5,317891.2256191467,-356.28671898214935,1.0,3.681499549657019e-13
16,2,219.0,45.0,561281.4031522005,-358.7929535265359,1.0,7.549516567451064e-15
16,3,219.0,67.5,110775.3501005472,-429.8167129940929,1.0,2.0823343049869436e-12
16,4,219.0,90.0,414225.8779299597,-292.0718852574055,1.0,2.793321129956894e-13
16,5,219.0,112.5,343664.90903791337,-408.8126797367682,1.0,9.29034627006331e-13
