target_jacobi,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9221,31,3.4171709565362662,0.798294119183606,-0.06867125679979978,-0.00820714834210817,-0.08343552442322424,0.5091268891807793,0.05586341951385747,2.9220999999866244,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,32,3.5274022777148555,0.7984402011148461,-0.06838710260959521,-0.011668038904379925,-0.08371376954471067,0.5090637149750487,0.053677603919232236,2.922099999987369,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,33,3.6376335988934447,0.7987428229712371,-0.06796483064906143,-0.014995323564859208,-0.0839738498041672,0.5089231601934738,0.050728871379820475,2.9220999999881934,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,34,3.747864920072034,0.7991922887491112,-0.067350840733772,-0.018172567089941406,-0.0841432839590438,0.5087351424227994,0.047066627849036945,2.9220999999887867,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,35,3.8580962412506232,0.7997806778830113,-0.06655868096125553,-0.021188047321369072,-0.08419630988982407,0.5084971226774766,0.04275791024698932,2.9220999999890944,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,36,3.9683275624292125,0.8004972906723654,-0.06566820376256317,-0.024029639539834172,-0.08415647106221683,0.508180066350905,0.037882877331478666,2.922099999989141,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,37,4.078558883607801,0.8013236264856128,-0.0648045752540652,-0.02667813508142042,-0.08408721866349712,0.50774371372673,0.03253056269320631,2.922099999989023,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,38,4.1887902047863905,0.8022299960806643,-0.06410568119846577,-0.029102144086287546,-0.08407323631505413,0.5071548021636668,0.026794896416818058,2.922099999988826,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,39,4.29902152596498,0.803175217902104,-0.06368835923331818,-0.03125699628734619,-0.08419679379804956,0.5064018736442486,0.020771229594444822,2.9220999999886725,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,40,4.409252847143569,0.8041097670140962,-0.06362282793190029,-0.03308820790280142,-0.08451514898416111,0.5055026089625955,0.01455369266024242,2.9220999999885637,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,41,4.519484168322158,0.8049815332473291,-0.0639218742089783,-0.03453818766548733,-0.08504575952344014,0.5045025865542876,0.008233307258799673,2.922099999988397,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,42,4.6297154895007475,0.8057423205046073,-0.06454686828911621,-0.035553766326746485,-0.08576395775418647,0.5034669238563904,0.0018962908514157154,2.9220999999880846,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,43,4.739946810679337,0.8063528114976171,-0.06542668686872147,-0.03609221048600611,-0.08661243411958892,0.5024682109821227,-0.004377846853748009,2.9220999999876365,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,44,4.850178131857926,0.8067843182399119,-0.06648023413021248,-0.03612446508279411,-0.08751613389382971,0.5015753010842993,-0.010518033675135317,2.9220999999872728,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,45,4.960409453036515,0.8070172354934013,-0.06763192327429429,-0.03563586245266799,-0.08839431561381943,0.50084705266029,-0.016462294895400322,2.9220999999872896,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,46,5.0706407742151045,0.8070379967825884,-0.06881407522619,-0.03462562954144402,-0.08916542057516388,0.5003323522269859,-0.022156957120492118,2.9220999999880615,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,47,5.180872095393694,0.8068373305480256,-0.06995874754116373,-0.03310662521921136,-0.08974738831745735,0.5000735735255448,-0.02755517310656806,2.922099999989685,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,48,5.291103416572283,0.8064119404123348,-0.07098865927521321,-0.031105844222926584,-0.09006071284310549,0.500107767109283,-0.03261609751840476,2.922099999991854,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,49,5.401334737750872,0.805769578654791,-0.0718174427706422,-0.028665004686662773,-0.09003988848065621,0.5004610057720021,-0.03730517303623242,2.922099999993822,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,50,5.5115660589294615,0.8049350427281753,-0.07236309196872588,-0.025839875632172465,-0.08965198343339274,0.5011363140056684,-0.041594365504046944,2.9220999999949395,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,51,5.621797380108051,0.803953488724939,-0.07256996575254945,-0.02269728374601733,-0.08891433393989258,0.5021010736863121,-0.04546042435952501,2.9220999999949626,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,52,5.73202870128664,0.8028884189714558,-0.07242944953755404,-0.019309703633002787,-0.0879017911889417,0.503281743840862,-0.048880261546597935,2.9220999999941437,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,53,5.842260022465229,0.8018141352756364,-0.07198966096766196,-0.01574845579662992,-0.08673825481963088,0.5045707175730921,-0.05182465043796404,2.922099999992833,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,54,5.9524913436438185,0.8008048850653607,-0.07134904978584498,-0.012077336401116693,-0.08557399619404647,0.5058442803954215,-0.05425303277321158,2.9220999999912785,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,55,6.062722664822408,0.7999241116822671,-0.07063436435036195,-0.008348652347718031,-0.08455535546451898,0.5069858251582572,-0.056112184783386025,2.922099999989628,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,56,6.172953986000997,0.7992168424800697,-0.06996826252895938,-0.0046029306810414505,-0.08379503282186743,0.5079071431004852,-0.05733997542681777,2.9220999999880863,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
