kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
targeted_trajectory,70,14.88928708770439,6563.000041081413,79.48319573901148,0.9881261963440534,0.003846972278113912,-2.664308440309786e-22,0.002754275596368949,0.0230510418321261,-7.566896545411331e-22,1866769.795992456,3.000356027154448
targeted_trajectory,71,14.88928708770439,6563.000041081413,80.61866996385447,0.9881853699719307,0.004294902347751366,-2.810779445877725e-22,0.003302126266549467,0.02280820788273342,-7.429701202612308e-22,1880182.244289174,3.000356027154448
targeted_trajectory,72,14.88928708770439,6563.000041081413,81.75414418869748,0.9882550931773338,0.004737776534884241,-2.954517365610783e-22,0.003834319162215656,0.02253358774096122,-7.28710734683878e-22,1894164.382876143,3.000356027154448
targeted_trajectory,73,14.88928708770439,6563.000041081413,82.88961841354053,0.988335051498063,0.005174987565733416,-3.095420130903427e-22,0.004349990568442868,0.02222857865788794,-7.139459289823536e-22,1908656.951758641,3.000356027154448
targeted_trajectory,74,14.88928708770439,6563.000041081413,84.02509263838354,0.9884249147194339,0.005605955714811124,-3.233392293247408e-22,0.004848390577689349,0.02189460190898194,-6.987090171589513e-22,1923597.204765577,3.000356027154448
targeted_trajectory,75,14.88928708770439,6563.000041081413,85.16056686322655,0.9885243390523751,0.006030129148733201,-3.368344784342308e-22,0.005328878269582231,0.02153309016391316,-6.830319820070055e-22,1938919.56612261,3.000356027154448
targeted_trajectory,76,14.88928708770439,6563.000041081413,86.2960410880696,0.988632969205129,0.006446984036330362,-3.50019463900629e-22,0.005790915688527081,0.02114547620637906,-6.669453080613597e-22,1954556.262371934,3.000356027154448
targeted_trajectory,77,14.88928708770439,6563.000041081413,87.43151531291261,0.9887504403280747,0.006856024452315892,-3.628864689901956e-22,0.00623406092470085,0.02073318308406329,-6.50477859613296e-22,1970437.921447606,3.000356027154448
targeted_trajectory,78,14.88928708770439,6563.000041081413,88.56698953775562,0.9888763798170164,0.007256782102728869,-3.754283242581131e-22,0.006657960587058459,0.02029761570861544,-6.336568005449876e-22,1986494.132647409,3.000356027154448
targeted_trajectory,79,14.88928708770439,6563.000041081413,89.70246376259867,0.9890104089656695,0.007648815900251012,-3.876383738620472e-22,0.00706234193041048,0.01984015387515645,-6.165075517983953e-22,2002653.963084129,3.000356027154448
targeted_trajectory,80,14.88928708770439,6563.000041081413,90.83793798744168,0.9891521444628832,0.008031711416494319,-3.995104413740193e-22,0.007447004865755264,0.01936214663104653,-5.990537817115504e-22,2018846.427884249,3.000356027154448
targeted_trajectory,81,14.88928708770439,6563.000041081413,91.97341221228469,0.989301199734264,0.008405080236681805,-4.110387956836295e-22,0.007811814046928244,0.01886490789439869,-5.813174241890941e-22,2035000.912887761,3.000356027154448
targeted_trajectory,82,14.88928708770439,6563.000041081413,93.10888643712774,0.9894571861312771,0.008768559239994009,-4.222181174869306e-22,0.008156691189810369,0.01834971320333039,-5.633187196705767e-22,2051047.549865047,3.000356027154448
